Measurement Date,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class
2018-11-07,22.679166666666664,1.0641666666666667,0.20683333333333334,3.8333333333333335,11.212499999999999,11.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-11-08,24.6375,0.8624999999999999,0.19420833333333332,3.5833333333333335,11.012500000000001,11.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-12-06,16.854166666666668,0.9616666666666668,0.15295833333333334,3.8333333333333335,11.300000000000002,12.0,6.0,2018.0,11.5,41.894328,-87.613083,0
2018-12-07,22.6875,0.8883333333333333,0.13875,3.125,11.1875,12.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-12-08,25.35,0.7805,0.173,4.45,10.959999999999999,12.0,8.0,2018.0,12.5,41.894328,-87.613083,0
2019-01-06,16.176190476190477,0.9219047619047619,0.1631904761904762,4.380952380952381,10.995238095238095,1.0,6.0,2019.0,10.333333333333334,41.894328,-87.613083,0
2019-01-07,18.58695652173913,0.7234782608695652,0.10517391304347826,4.173913043478261,11.504347826086958,1.0,7.0,2019.0,11.521739130434783,41.894328,-87.613083,0
2019-01-08,22.1375,1.4625000000000001,0.21541666666666667,3.8333333333333335,11.3125,1.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-01-09,17.708333333333332,1.2441666666666666,0.1765,3.7916666666666665,10.908333333333333,1.0,9.0,2019.0,11.5,41.894328,-87.613083,0
2019-02-06,14.840909090909092,0.7904545454545455,0.2345,3.6818181818181817,10.895454545454546,2.0,6.0,2019.0,11.590909090909092,41.894328,-87.613083,0
2019-02-07,20.570833333333333,0.6683333333333333,0.118875,4.5,12.362499999999999,2.0,7.0,2019.0,11.5,41.894328,-87.613083,0
2019-02-08,22.933333333333334,0.9970833333333333,0.166125,3.0833333333333335,11.300000000000002,2.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-02-09,18.70416666666667,1.42875,0.124375,4.25,10.9,2.0,9.0,2019.0,11.5,41.894328,-87.613083,0
2019-03-06,15.02857142857143,0.7566666666666667,0.22495238095238096,3.9047619047619047,10.752380952380953,3.0,6.0,2019.0,12.80952380952381,41.894328,-87.613083,0
2019-03-07,20.233333333333334,0.68,0.13358333333333333,3.4166666666666665,12.045833333333334,3.0,7.0,2019.0,11.5,41.894328,-87.613083,0
2019-03-08,23.441666666666666,0.8995833333333333,0.141125,3.6666666666666665,11.199999999999998,3.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-03-09,18.716666666666665,1.25875,0.12904166666666667,3.3333333333333335,10.825000000000001,3.0,9.0,2019.0,11.5,41.894328,-87.613083,0
2019-04-06,15.056521739130435,0.9008695652173913,0.18034782608695651,3.782608695652174,10.795652173913044,4.0,6.0,2019.0,11.434782608695652,41.894328,-87.613083,0
2019-04-07,20.829166666666666,0.5608333333333333,0.14075000000000001,3.5,11.850000000000001,4.0,7.0,2019.0,11.5,41.894328,-87.613083,0
2019-04-08,23.95,1.7795833333333333,0.16754166666666667,3.1666666666666665,11.125,4.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-04-09,17.8,4.819999999999999,0.23045833333333335,4.458333333333333,10.75,4.0,9.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-06,16.243478260869566,0.698695652173913,0.13917391304347826,5.913043478260869,10.717391304347826,5.0,6.0,2019.0,11.0,41.894328,-87.613083,0
2019-05-07,21.65416666666667,0.6191666666666666,0.11333333333333334,4.625,11.741666666666667,5.0,7.0,2019.0,11.5,41.894328,-87.613083,0
